object_id,lib,desc,x,y,designator,comment,manufacturer,mpn,pin_count
27,ESP32-S3-WROOM-1U-N16R8,,740,1040,,,,,
28,MOLX-54132-4062,,1500,1070,,,,,
29,MOLX-52271-0679,,1320,1070,,,,,
30,e7c17a616881a82b79941196b4bec10,,100,1030,,,,,
31,USBLC6-2SC6,,290,770,,,,,
32,be8a6ed96e7e7970ff670e6b7a0d8cd,,310,1040,,,,,
33,0e61c2974d7114b43f01ef96ae2e524,,300,440,,,,,
34,PM-REG-STCS1A-IL9,,1190,950,,,,,
35,7dede5ae6ec4f64f362f8612ed9bb45,,710,460,,,,,
36,CN-1P-M-R4,,790,130,,,,,
37,4e16b2d45535132dfc94a0c32fbd9e7,,1110,450,,,,,
39,1029c3af85768c4190bb7ad29bc67b5,,250,670,,,,,
40,1029c3af85768c4190bb7ad29bc67b5,,250,700,,,,,
60,1029c3af85768c4190bb7ad29bc67b5,,500,700,,,,,
70,02cd4be3c70576c341d710602a673aa,,290,980,,,,,
72,1029c3af85768c4190bb7ad29bc67b5,,500,930,,,,,
74,f23184f103b6ebe33a8c269c53dcba6,,450,630,,,,,
75,CAP-NP-2,,310,890,,,,,
76,02cd4be3c70576c341d710602a673aa,,290,860,,,,,
78,02cd4be3c70576c341d710602a673aa,,490,890,,,,,
84,1029c3af85768c4190bb7ad29bc67b5,,240,930,,,,,
85,1029c3af85768c4190bb7ad29bc67b5,,550,1020,,,,,
86,b4654b650e69147ec39a6b967a45e02,,490,850,,,,,
87,S1751-46R,,80,610,,,,,
88,S1751-46R,,80,560,,,,,
89,S1751-46R,,80,510,,,,,
90,S1751-46R,,80,460,,,,,
91,S1751-46R,,80,410,,,,,
97,S1751-46R,,80,170,,,,,
98,S1751-46R,,80,130,,,,,
104,1029c3af85768c4190bb7ad29bc67b5,,400,560,,,,,
107,1029c3af85768c4190bb7ad29bc67b5,,400,520,,,,,
116,440055-5,,260,560,,,,,
119,725321dda6339637d4d059423bc1c3c,,460,410,,,,,
121,1029c3af85768c4190bb7ad29bc67b5,,300,390,,,,,
123,f23184f103b6ebe33a8c269c53dcba6,,420,440,,,,,
125,CAP-NP-2,,280,340,,,,,
128,b4654b650e69147ec39a6b967a45e02,,500,310,,,,,
